Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деряжна,Ірина,Іванівна,Жіноча,1950-07-02,Журналіст,селище Берегове,"проспект Гранатна, буд. 719, Борзна, 95329",+380 82 214-57-45,sviatoslav88@example.com
Іщак,Георгій,Степанович,Чоловіча,1975-05-30,Педагог,село Ладижин,"провулок Юхима Фесенка, буд. 090 кв. 94, Ворожба, 88508",+380 01 204-16-33,marusia84@example.net
Юрчишин,Марія,Тарасівна,Жіноча,1981-03-26,Антрополог,селище Ладижин,"парк Кордонна, буд. 770 кв. 6, Нікополь, 32326",+380 13 474-52-47,qpiddubnyi@example.org
Дараган,Марʼяна,Петрівна,Жіноча,1963-12-28,Бізнесмен,село Білозерське,"площа Садова 6-та, буд. 807 кв. 4, Звенигородка, 61574",022 812 94 27,tymofii23@example.net
Чорновіл,Василь,Дмитрович,Чоловіча,1990-06-16,Дерун,село Яготин,"шосе Лінія 44-та, буд. 112, Кролевець, 56937",049 327-82-88,deinekorostyslav@example.net
Корбут,Еріка,Тарасівна,Жіноча,2003-12-02,Стиліст,місто Кіцмань,"сквер Аеропортівський 4-й, буд. 64, Верхівцеве, 05405",+380 47 521 94 50,utelychenko@example.org
Рябошапка,Ірена,Василівна,Жіноча,1997-03-18,Кухар,село Вашківці,"узвіз Стельмаха, буд. 3, Сіверськ, 87195",+380 81 980 67 35,vitalii52@example.org
Чубай,Орхип,Анатолійович,Чоловіча,1969-10-11,Співак,селище Татарбунари,"провулок Лучиста, буд. 304 кв. 348, Новий Буг, 48090",+380 60 042-16-00,teodor16@example.org
Деркач,Вікторія,Андріївна,Жіноча,1975-03-27,Різноробочий,селище Бар,"парк Басейний 4-й, буд. 380, Охтирка, 28978",093 207-47-92,kybkaloiakiv@example.org
Давиденко,Кирило,Олександрович,Чоловіча,2002-05-05,Ріелтор,селище Вижниця,"узвіз Івана Луценка, буд. 38 кв. 07, Кам'янка-Дніпровська, 43075",+380 23 956-36-66,ashynkarenko@example.com
Скоробогатько,Орхип,Юрійович,Чоловіча,1993-01-17,Зоолог,місто Новоукраїнка,"парк Центральний аеропорт, буд. 977 кв. 7, Хмельницький, 58425",+380 (52) 472-01-54,alevtyn25@example.net
Демʼянчук,Ігнат,Іванович,Чоловіча,1999-11-01,Кухар,селище Арциз,"проспект Ботанічний, буд. 885 кв. 118, Тульчин, 83994",+380 77 231-50-51,itsiupa@example.net
Запорожець,Демʼян,Павлович,Чоловіча,1991-06-30,М'ясник,хутір Рудки,"площа Мариністів, буд. 326 кв. 7, Васильків, 94917",+380 (03) 515-19-71,martyncherednyk@example.com
Килимник,Михайлина,Сергіївна,Жіноча,2000-06-01,Агроном,селище Кривий Ріг,"провулок Лазурний 3-й, буд. 077, Жовква, 96589",119 18 21,fhavryliuk@example.net
Їжакевич,Амвросій,Григорович,Чоловіча,1946-12-15,Електромонтер,хутір Чернівці,"провулок Травневий 4-й, буд. 48 кв. 743, Енергодар, 08273",+380 58 942 46 93,zhaliloleon@example.com
Чала,Світлана,Андріївна,Жіноча,2011-02-10,М'ясник,селище Надвірна,"узвіз Училищна, буд. 685 кв. 82, Берислав, 24073",022 269-42-52,ihnat54@example.com
Баранець,Олена,Андріївна,Жіноча,1948-06-16,Інженер,селище Олександрівськ,"площа Байкал тупик, буд. 882, Кам'янець-Подільський, 10907",+380 (58) 056-59-34,ieshchenkoada@example.net
Єфименко,Ігнат,Дмитрович,Чоловіча,1984-10-18,Мінералог,селище Кременець,"провулок Йосипа Фішера, буд. 64 кв. 64, Новоселиця, 55326",+380 35 384 89 54,panteleimongerus@example.com
Авдєєнко,Софія,Володимирівна,Жіноча,1963-04-13,Локсмайстер,селище Бар,"шосе Лазурний 1-й, буд. 7, Чернігів, 29551",+380 01 476 63 33,ezatovkaniuk@example.com
Данько,Богданна,Богданівна,Жіноча,1950-11-16,Археолог,селище Острог,"вулиця Митна, буд. 78 кв. 4, Мерефа, 27933",076 138 81 81,hryhoriilemeshko@example.com
Павличенко,Юхим,Олексійович,Чоловіча,2000-03-04,Електрослюсар,село Малин,"провулок Гена Іоганна, буд. 0, Косів, 54513",+380 (40) 957-72-57,hanna76@example.org
Бабко,Михайло,Олексійович,Чоловіча,2010-09-24,Пекар,село Довжанськ,"вулиця Джевецького, буд. 6 кв. 95, Глиняни, 23456",+380 47 507-19-42,iefrematamanchuk@example.org
Філіпенко,Сергій,Степанович,Чоловіча,1957-04-26,Маркетолог,селище Бахчисарай,"набережна Кар’єрна, буд. 6 кв. 911, Вознесенівка, 82262",+380 17 979-40-43,mariiadutka@example.org
Масоха,Ольга,Іванівна,Жіноча,1983-11-24,Стропальник,село Самар,"сквер Добровольців, буд. 7 кв. 56, Вінниця, 75888",+380 18 414-36-56,andriichuksvitlana@example.org
Чміль,Ярина,Петрівна,Жіноча,1948-01-13,Перекладач,селище Канів,"узвіз Генуезька, буд. 58, Новоукраїнка, 22782",+380 47 665-06-63,hordii67@example.net
Вітер,Олена,Григорівна,Жіноча,1990-01-02,Кіноактор,село Городок,"набережна Климовича, буд. 941 кв. 724, Жидачів, 45383",081 660-69-10,hupaloazar@example.org
Єсипенко,Микита,Романович,Чоловіча,1966-04-04,Фармацевт,хутір Ворожба,"площа Новощіпний ряд, буд. 643, Святогірськ, 06495",030 122 36 24,havryshkevychklavdiia@example.org
Левченко,Дарина,Дмитрівна,Жіноча,1951-08-21,Диригент,місто Новояворівськ,"площа Тепличний 1-й, буд. 816, Прилуки, 15156",038 361 47 74,eshelest@example.org
Луценко,Єлисей,Тарасович,Чоловіча,1977-08-16,Хімік,місто Сміла,"узвіз Байдарочний, буд. 1, Підгайці, 51158",480 33 80,bohodar79@example.net
Микитюк,Дан,Григорович,Чоловіча,1957-07-25,М'ясник,село Федорівка,"провулок Моторний 1-й, буд. 5 кв. 7, Гайсин, 10665",705 13 63,lukian17@example.com
Фаренюк,Олесь,Петрович,Чоловіча,2009-04-16,Слідчий,селище Рубіжне,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 797, Бахчисарай, 13308",086 907 39 51,tovcharenko@example.com
Палій,Алевтин,Миколайович,Чоловіча,1953-01-01,Пілот,село Глобине,"сквер Травневий 4-й, буд. 66 кв. 97, Пирятин, 48775",198 18 91,tkaras@example.net
Гриценко,Лілія,Олексіївна,Жіноча,1970-09-29,Скульптор,селище Семенівка,"парк Старосінна, буд. 37 кв. 977, Чорнобиль, 44728",+380 43 318-33-01,okhrim19@example.net
Гавриш,Роксолана,Тарасівна,Жіноча,2006-09-29,Музикант,селище Копичинці,"провулок Олександра Білостінного, буд. 0, Бучач, 54924",000 937 77 72,kostiantynzhadan@example.net
Хоменко,Руслан,Степанович,Чоловіча,2009-11-01,Євнух,хутір Карлівка,"набережна Паркова, буд. 5, Тростянець, 88791",040 856 08 89,serhii49@example.net
Ґереґа,Мартин,Олексійович,Чоловіча,1996-05-21,Менеджер,місто Кам'янка (Черкаська область),"вулиця Краснослобідська, буд. 1 кв. 799, Олександрівськ, 27506",331-41-33,npanchuk@example.com
Чорновіл,Оксенія,Анатоліївна,Жіноча,2006-06-24,Промисловець,хутір Глухів,"шосе Незалежності, буд. 731, Олександрівськ, 13338",645-69-48,venhrynovychleontii@example.com
Чекалюк,Соломон,Богданович,Чоловіча,1981-07-25,Паралегал,місто Білогірськ,"шосе Олешківська, буд. 539, Васильків, 17593",180 97 36,levko48@example.org
Забіла,Мирон,Андрійович,Чоловіча,1950-06-01,Музикознавець,хутір Берислав,"сквер Чубаївська, буд. 543, Херсон, 43847",+380 75 338-61-72,irvanetsalla@example.net
Ребрик,Олег,Іванович,Чоловіча,1971-10-08,Флорист,селище Луганськ,"провулок Слобідський узвіз, буд. 7 кв. 7, Голубівка, 45412",039 761 71 20,levchenkoomelian@example.com
Акименко,Альберт,Григорович,Чоловіча,1983-09-01,Модельєр,хутір Новогродівка,"проспект Кустанайський 2-й, буд. 098 кв. 7, Багачеве, 01760",+380 (43) 511-73-15,piddubnyimarko@example.com
Влох,Анжела,Андріївна,Жіноча,1974-04-23,Модельєр,місто Шостка,"узвіз Томатна, буд. 448 кв. 19, Деражня, 81815",011 632 92 43,priabovil@example.net
Атрощенко,Симон,Петрович,Чоловіча,1968-11-07,Кухар,село Бориспіль,"проспект Рульовий, буд. 39, Гнівань, 52436",009 532-39-78,orynakonoplia@example.com
Забара,Михайло,Дмитрович,Чоловіча,1976-01-15,Диригент,селище Богодухів,"проспект Овідіопольський, буд. 559, Лебедин, 06143",533 88 59,wsemenchenko@example.net
Євтушок,Єва,Петрівна,Жіноча,1991-01-25,Кухар,селище Вознесенськ,"проспект Лазурний 1-й, буд. 1, Попасна, 21894",114-58-67,rchumachenko@example.org
Лазаренко,Данило,Михайлович,Чоловіча,1976-03-24,Клоун,селище Кролевець,"вулиця Чайкова, буд. 6 кв. 171, Коростишів, 90784",513-93-16,bohuslavasemenchenko@example.org
Андрієвич,Гліб,Степанович,Чоловіча,1997-12-21,Журналіст,селище Подільськ,"парк Лазурний 6-й, буд. 1 кв. 336, Болград, 49044",069 344 06 19,valentynasheremeta@example.com
Цісик,Зорян,Юрійович,Чоловіча,1977-06-22,Гірник,хутір Ромни,"узвіз Короткий, буд. 0 кв. 49, Калинівка, 67095",+380 (35) 944-68-14,levkoshovkoplias@example.com
Бабій,Варвара,Петрівна,Жіноча,2010-04-24,Електромонтажник,село Дубляни,"парк Дальній, буд. 819, Олександрія, 34890",029 233 16 97,bartiukh@example.com
Гаврюшенко,Стефан,Михайлович,Чоловіча,2005-03-12,Продюсер,селище Федорівка,"вулиця 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 82, Інкерман, 94976",073 070 37 52,vdovychenkovarvara@example.net
Атрощенко,Богданна,Михайлівна,Жіноча,1993-02-28,Стропальник,село Бібрка,"вулиця Заводська 2-га, буд. 9, Арциз, 83628",095 153-18-18,ucherednyk@example.com
Свириденко,Данило,Романович,Чоловіча,1960-10-11,Намотувальник,місто Золочів,"узвіз Купріна, буд. 298, Рудки, 74550",067 082 71 15,rakielysaveta@example.com
Забіла,Камілла,Павлівна,Жіноча,2011-04-25,Науковець,село Кам'янське,"площа Лиманчик 2-й Лінія 5-та, буд. 43, Гірське, 50043",085 430-58-49,albinatereshchuk@example.org
Голик,Святослава,Дмитрівна,Жіноча,1992-02-06,Промисловець,село Хрустальний,"проспект Аеропортівський 3-й, буд. 81, Вільногірськ, 86663",+380 42 804 27 83,disaievych@example.com
Юхименко,Ліза,Олександрівна,Жіноча,2005-06-20,Агроном,місто Бунге,"узвіз Буковинська, буд. 28 кв. 75, Великі Мости, 67486",054-78-74,arsenbashtan@example.org
Усик,Аніта,Степанівна,Жіноча,1957-05-12,Державний службовець,хутір Марганець,"парк Велика Арнаутська, буд. 64 кв. 9, Семенівка, 08138",+380 30 542-50-10,uartiushenko@example.org
Байдак,Хома,Дмитрович,Чоловіча,1994-06-27,Круп'є,селище Лиман,"набережна Місячний, буд. 2 кв. 06, Новояворівськ, 47250",828 80 29,artymovychvolodymyra@example.org
Щербак,Богуслав,Юрійович,Чоловіча,1970-11-10,Кухар,селище Одеса,"площа Лінія 40-ва, буд. 43 кв. 7, Знам'янка, 21002",321-01-57,ihnatshynkarenko@example.net
Тимченко,Аліна,Василівна,Жіноча,1992-10-01,Паблік рилейшнз,селище Борщів,"провулок Волинський, буд. 5 кв. 434, Євпаторія, 09759",+380 31 376-73-94,dan30@example.org
Євдокименко,Богуслава,Тарасівна,Жіноча,1975-11-04,Електромонтер,місто Донецьк,"шосе Залізнична, буд. 35, Сніжне, 27559",015 244 81 45,otymchenko@example.com
Абраменко,Георгій,Петрович,Чоловіча,2010-02-07,Локсмайстер,хутір Кролевець,"парк Василя Кандинського 1-й, буд. 4 кв. 7, Хоростків, 60296",+380 16 707-23-12,mykhailo27@example.com
Штокало,Володимир,Степанович,Чоловіча,1993-06-26,Музикознавець,місто Біляївка,"вулиця Чорноморський 7-й, буд. 5, Апостолове, 68812",+380 (54) 683-34-62,ederhach@example.com
Ярема,Єлисей,Олексійович,Чоловіча,1973-06-09,Машиніст,село Ізюм,"узвіз Черешнева, буд. 4, Івано-Франківськ, 68037",068 740 62 95,orlykeduard@example.org
Самойленко,Емілія,Романівна,Жіноча,1994-05-16,Живописець,селище Очаків,"набережна Наявний 5-й, буд. 724 кв. 141, Ніжин, 75948",031 716 79 73,tymchenkomyroslav@example.org
Ірванець,Світлана,Іванівна,Жіноча,1962-04-11,Громадський діяч,місто Старий Крим,"шосе Студентський 5-й, буд. 11 кв. 81, Хирів, 89823",098 909-86-93,huzenkotetiana@example.net
Дзюба,Валентина,Миколаївна,Жіноча,1995-12-23,Маркетолог,селище Перемишляни,"проспект Злакова, буд. 10 кв. 37, Середина-Буда, 99438",045 748 12 07,skashchenko@example.net
Дейнека,Тимофій,Павлович,Чоловіча,1959-12-11,Намотувальник,село Жидачів,"площа Прохоровський, буд. 339, Каховка, 73769",079 919-03-09,liliiariabchenko@example.org
Андріїшин,Прохір,Миколайович,Чоловіча,1982-01-27,Музичний редактор,місто Здолбунів,"провулок Дениса Максишка, буд. 266, Тернопіль, 40059",491 75 11,hryhorii29@example.com
Ткаченко,Юстим,Олександрович,Чоловіча,1984-11-08,Ботанік,селище Підгородне,"сквер Рівності, буд. 81 кв. 2, Комарно, 43920",+380 98 331-46-24,iukhym68@example.com
Франчук,Віталій,Юрійович,Чоловіча,1981-09-17,Мовознавець,селище Самар,"площа Вернидуба, буд. 340, Сіверськ, 19273",+380 68 021 06 91,cbandurka@example.org
Базилевський,Арсен,Дмитрович,Чоловіча,1950-12-24,Патологоанатом,селище Маріуполь,"площа Пресича Олександра, буд. 7, Хорол, 14629",+380 84 470 54 08,iustynatereshchenko@example.org
Міщенко,Клавдія,Володимирівна,Жіноча,1951-09-04,Локсмайстер,хутір Старобільськ,"набережна Старобазарний, буд. 7 кв. 649, Нова Каховка, 57959",537-22-84,korsunalla@example.org
Абраменко,Клавдія,Іванівна,Жіноча,2008-08-09,Менеджер,село Лебедин,"провулок Степний 2-й, буд. 4, П'ятихатки, 48094",+380 (99) 043-97-94,marianaavramenko@example.com
Ільєнко,Сніжана,Дмитрівна,Жіноча,1989-03-26,Швачка,хутір Одеса,"площа Верхня, буд. 59 кв. 49, Вижниця, 07160",+380 (47) 043-79-68,drobakhaamaliia@example.org
Лисенко,Хома,Вікторович,Чоловіча,1975-10-30,Електромонтер,село Броди,"площа Джерельна, буд. 913, Інкерман, 56926",+380 66 430-03-91,zshvedchenko@example.org
Калениченко,Алла,Богданівна,Жіноча,2004-10-17,Режисер,місто Борзна,"вулиця Павлова, буд. 23, Герца, 19521",097 887-96-56,myroslavbabychenko@example.com
Охріменко,Тимофій,Михайлович,Чоловіча,1948-12-07,Кінолог,хутір Балта,"провулок Восьмого березня, буд. 66, Сновськ, 15812",795-82-75,jiaremenko@example.org
Удовенко,Ярослав,Олексійович,Чоловіча,1950-05-12,Журналіст,село Перевальськ,"проспект Наявний 5-й, буд. 48, Хирів, 27879",+380 (38) 913-91-59,ihaida@example.net
Конопленко,Богодар,Миколайович,Чоловіча,1964-05-14,Скульптор,селище Ананьїв,"набережна Лютнева, буд. 8 кв. 384, Володимир-Волинський, 80540",+380 95 297 96 29,makarpanchuk@example.org
Аврамчук,Стефан,Сергійович,Чоловіча,1972-09-07,Скульптор,хутір Отаманівка,"площа Обривиста, буд. 0 кв. 81, Хуст, 84643",054 604 71 91,yriabets@example.com
Базилевич,Охрім,Степанович,Чоловіча,1984-11-24,Сценарист,хутір Борщів,"парк Корнюшина, буд. 8, Олешки, 83696",020 012 00 95,dpiatachenko@example.net
Демиденко,Арсен,Михайлович,Чоловіча,1982-03-12,Астроном,село Волочиськ,"сквер Офіцерський 1-й, буд. 80, Українка, 72558",856-63-09,andriimalyshko@example.org
Деревʼянко,Орина,Юріївна,Жіноча,1955-04-24,Паралегал,хутір Апостолове,"проспект Солонцюватий, буд. 5, Чернівці, 84562",084 004 46 43,stepankorsun@example.com
Тихий,Трохим,Олександрович,Чоловіча,2004-10-01,Кінорежисер,селище Златопіль,"парк Савранська, буд. 9 кв. 26, Камінь-Каширський, 54747",+380 70 974 22 55,viterles@example.org
Ващенко-Захарченко,Мартин,Іванович,Чоловіча,1968-12-29,Інженер,селище Хуст,"сквер Книжковий, буд. 19, Кодима, 69471",020 956-07-31,baidakmarta@example.org
Фастенко,Галина,Анатоліївна,Жіноча,1953-01-26,Кухар,місто Благовіщенське,"вулиця Миколи Кравченка, буд. 4 кв. 8, Кременчук, 21117",+380 63 388-23-30,shukhevychvolodymyr@example.org
Демʼянюк,Остап,Анатолійович,Чоловіча,1988-08-05,Філолог,місто Красногорівка,"шосе Лінія 47-ма, буд. 92, П'ятихатки, 70947",955-24-55,deriazhnyivadym@example.com
Шило,Миколай,Миколайович,Чоловіча,1949-12-02,Професор,хутір Світлодарськ,"проспект Партизанська, буд. 4 кв. 837, Южноукраїнськ, 68267",+380 06 022-47-49,artem79@example.com
Ґалаґан,Олександр,Васильович,Чоловіча,1950-03-08,Дерун,селище Шахтарськ,"провулок Квантовий, буд. 976 кв. 4, Чигирин, 60841",+380 (90) 848-29-32,rmykhailiuk@example.com
Кибкало,Едита,Анатоліївна,Жіноча,2003-01-06,Паралегал,село Нововолинськ,"набережна Пісочний, буд. 4, Валки, 38018",048 766-54-09,marko78@example.net
Валенко,Аврелій,Миколайович,Чоловіча,2005-01-27,Ді-джей,село Довжанськ,"площа Кордонний, буд. 0 кв. 4, Нікополь, 92536",+380 53 290-53-08,ehavrylyshyn@example.net
Верменич,Леопольд,Вікторович,Чоловіча,1999-05-15,Живописець,місто Алупка,"парк Дюківський сад, буд. 875 кв. 31, Кілія, 80424",077 888 27 85,liudmylanehoda@example.org
Таран,Гордій,Олексійович,Чоловіча,1980-12-28,Швачка,хутір Новогродівка,"шосе Пересипська 10-та, буд. 591 кв. 9, Волноваха, 08018",130 74 66,oles91@example.com
Дутка,Миколай,Іванович,Чоловіча,1986-08-18,Пекар,село Вознесенівка,"шосе Нафтовиків, буд. 6, Сторожинець, 08387",+380 (53) 412-62-44,ziukhymenko@example.org
Дергач,Емілія,Володимирівна,Жіноча,2003-11-20,Конструктор,місто Привілля,"шосе Астрономічний, буд. 219, Каховка, 24301",+380 82 049 40 52,tarasenkovolodymyr@example.net
Андріїшин,Степан,Романович,Чоловіча,2003-09-01,Кінокритик,селище Козятин,"парк Перша, буд. 8 кв. 525, Хорол, 81893",954 41 14,ftarasenko@example.org
Щербак,Ганна,Степанівна,Жіноча,2010-06-24,Редактор,місто Жовква,"парк 4-та Лінія Марії Демченко, буд. 071 кв. 5, Кадіївка, 28014",+380 43 295-47-35,tereza72@example.org
Чубай,Марта,Романівна,Жіноча,1999-05-08,Секретар,селище Нове Давидково,"шосе Грузинська, буд. 1, Феодосія, 30018",053 836 30 66,chabanles@example.com
Бабич,Данна,Миколаївна,Жіноча,1976-12-30,Журналіст,селище Благовіщенське,"провулок Рішельєвська, буд. 0, Торецьк, 41607",+380 26 067-83-18,romanchukdemian@example.org
Тарасенко,Орина,Петрівна,Жіноча,2004-06-20,Економіст,село Білогірськ,"сквер Канатна, буд. 4, Самар, 86044",048 786-03-71,liliiateslenko@example.org
Стельмах,Данна,Михайлівна,Жіноча,1979-03-20,Архітектор,село Чернівці,"набережна Юхима Геллера, буд. 857 кв. 56, Маріуполь, 13129",+380 01 305-66-09,sofiia28@example.net
Щириця,Дарина,Миколаївна,Жіноча,1962-12-28,Водій,селище Мостиська,"узвіз Дюківська, буд. 9, Почаїв, 32337",+380 33 850 91 77,eduard00@example.net
Яковенко,Вікторія,Сергіївна,Жіноча,2009-08-26,Мікробіолог,селище Алупка,"парк Миколи Огренича, буд. 18 кв. 66, Благовіщенське, 16976",189 44 69,jvashchuk@example.net
Чуприна,Ірина,Юріївна,Жіноча,2007-02-09,Пілот,селище Докучаєвськ,"набережна Затишна, буд. 320, Стебник, 28156",253-58-24,bromanets@example.com
Прокопович,Валентина,Сергіївна,Жіноча,1983-12-31,Художник,місто Українськ,"площа Троїцька, буд. 3, Носівка, 63402",075 273-04-79,viktoriiatryhub@example.com
Вернидуб,Феофан,Степанович,Чоловіча,1973-01-31,Локсмайстер,село П'ятихатки,"площа Старокінний, буд. 1, Приморськ, 87166",+380 71 797-74-42,valeriibabiuk@example.net
Рудько,Панас,Григорович,Чоловіча,1979-04-03,Археолог,село Чорнобиль,"набережна Морехідна, буд. 34 кв. 0, Кременець, 86390",886 15 76,ielysei11@example.com
Асаула,Пріска,Михайлівна,Жіноча,1959-08-03,Секретар,селище Берестин,"сквер Пироговський, буд. 213, Бахмут, 35124",105 20 00,okseniiaiarosh@example.net
Усик,Остап,Володимирович,Чоловіча,1956-01-04,Психолог,селище Буринь,"провулок Сірожупанників, буд. 8 кв. 710, Моршин, 28782",054 270 76 08,shevchenkomykhailo@example.com
